quarter,total_pixeles_median,Suma_de_radianza_trend_sum,Suma_de_radianza_trend_median,Suma_de_radianza_trend_std,Suma_de_radianza_trend_mean,Media_de_radianza_trend_sum,Media_de_radianza_trend_median,Media_de_radianza_trend_std,Media_de_radianza_trend_mean,Desviacion_estandar_de_radianza_trend_sum,Desviacion_estandar_de_radianza_trend_median,Desviacion_estandar_de_radianza_trend_std,Desviacion_estandar_de_radianza_trend_mean,Maximo_de_radianza_trend_sum,Maximo_de_radianza_trend_median,Maximo_de_radianza_trend_std,Maximo_de_radianza_trend_mean,Minimo_de_radianza_trend_sum,Minimo_de_radianza_trend_median,Minimo_de_radianza_trend_std,Minimo_de_radianza_trend_mean,Percentil_25_de_radianza_trend_sum,Percentil_25_de_radianza_trend_median,Percentil_25_de_radianza_trend_std,Percentil_25_de_radianza_trend_mean,Percentil_50_de_radianza_trend_sum,Percentil_50_de_radianza_trend_median,Percentil_50_de_radianza_trend_std,Percentil_50_de_radianza_trend_mean,Percentil_75_de_radianza_trend_sum,Percentil_75_de_radianza_trend_median,Percentil_75_de_radianza_trend_std,Percentil_75_de_radianza_trend_mean,fecha,municipio,pib_mun_desestacionalizado,pib_mun_trend
2012Q1,944.0,22601889.277234275,337375.7534717838,451.06798691617433,337341.63100349664,23942.679319104114,357.38956935570286,0.47782625732639,357.3534226731957,11175.563970941983,166.82064331482735,0.4564799554124748,166.79946225286542,70855.07447396133,1057.7808785634754,14.743827275880609,1057.5384249844974,2050.4779359018576,30.598272614592812,0.3099102168988305,30.60414829704265,17395.95039140565,259.67122553091775,0.694193946476895,259.6410506179948,24893.458834313325,371.58455149441954,0.5303714402004444,371.54416170616906,30698.324705476785,458.23064191882446,0.4146201966313395,458.18395082801175,2012-03-31,Monterrey,203192.86043758484,204466.27011064923
2012Q2,944.0,30473346.034557186,338642.7891661009,259.88724945791915,338592.7337173021,32281.08690101397,358.73176818442874,0.2753042896799898,358.67874334459964,15145.566074334796,168.31685520325217,0.39303489093029875,168.28406749260884,100138.35550295735,1113.089277511604,17.05154196980401,1112.6483944773038,2650.076420347563,29.43798180220161,0.3612480243025292,29.445293559417365,23574.588761682637,261.9836736989877,0.6251972827256942,261.9398751298071,33571.06783088822,373.0705352553565,0.30395892957511783,373.0118647876469,41317.0465502695,459.1191133701668,0.0998836898468647,459.0782950029944,2012-06-30,Monterrey,204988.8364899677,204568.79299281957
2012Q3,944.0,31181735.238079336,338959.0642386803,66.05798314459449,338931.9047617319,33031.499192880656,359.06680533758487,0.06997667705998206,359.0380347052245,15573.372647822978,169.30487175324464,0.188652220016319,169.27578965024978,107352.27574168656,1167.2507356775675,14.488857577404572,1166.8725624096367,2600.2687192793346,28.25873199408521,0.32671828349405707,28.26379042694929,24254.377117192194,263.67121860294424,0.3674433395319154,263.63453388252384,34354.45720575359,373.4454610493948,0.07010882319615777,373.4180131060173,42191.40925666131,458.66082318175916,0.35072181887686416,458.6022745289273,2012-09-30,Monterrey,204827.52121026613,204352.36078430497
2012Q4,944.0,31109178.505661264,338243.5330171877,464.39444559103487,338143.24462675286,32954.638247522525,358.3088273487159,0.491943268634487,358.202589646984,15599.997871643618,169.5875139504733,0.06117480731605093,169.56519425699585,111617.15296900806,1213.4875400528333,12.56452429162695,1213.2299235761745,2503.797537212828,27.19775757530003,0.27210182212715284,27.215190621878566,24322.684978694117,264.40281413575906,0.09207034084850872,264.37701063797954,34274.13618819953,372.6627365030196,0.525000761397829,372.54495856738623,42006.035922232724,456.7242945005132,0.9007596655601988,456.58734698079047,2012-12-31,Monterrey,204462.58136060674,204241.41771014905
2013Q1,944.0,29901862.740267977,332341.277517671,3123.7260813063044,332242.9193363109,31675.70205536862,352.0564380483802,3.309031865790563,351.9522450596513,15012.742982387197,166.89281364565306,1.709318492973614,166.80825535985775,110089.41005204694,1225.3744989479792,10.590429469963581,1223.215667244966,2419.4525601099504,26.897073710763543,0.06194721798434461,26.882806223443893,23444.260401828466,260.5911944731372,2.425535162383705,260.49178224253853,32921.02049183842,365.8848190042795,3.5578582525297926,365.7891165759824,40297.21801511625,447.856716485457,4.4142398567832,447.74686683462494,2013-03-31,Monterrey,203137.2681956813,203998.85423103737
2013Q2,944.0,29261424.064522646,321496.4930885007,2939.409911631602,321554.11059914995,30997.271254790943,340.56831894968315,3.113781686050395,340.6293544482521,14626.72748631226,160.68491329826466,1.700565562750693,160.73326908035452,106678.69558050479,1171.9563109016208,16.952024826610995,1172.293358027525,2432.585859052044,26.769976280156676,0.17560400329836393,26.731712736835647,22936.747370441943,252.01467236972775,2.349385035722432,252.05216890595543,32208.041435696574,353.8309727379265,3.1397247070620735,353.9345212713909,39396.6305733224,432.82493538364025,3.9902952710190718,432.93000630024613,2013-06-30,Monterrey,204781.08828356463,203912.18589993333
2013Q3,944.0,28702941.12439904,311962.61764486006,2638.4740251618873,311988.49048259825,30405.657970761695,330.46887462379254,2.794993670722261,330.49628229088796,14317.270443393672,155.56152673670044,1.2536162778235704,155.62250481949644,103464.17907521588,1123.4007713315416,9.991160915191424,1124.6106421219117,2378.68968086287,25.839803182840946,0.28667803358748634,25.855322618074673,22465.277496575134,244.19896110852042,2.2588997890053766,244.18779887581667,31658.0093379752,344.07096371386433,2.6197664185233003,344.10879715190435,38663.2387098255,420.19544061254885,3.407925142837357,420.2525946720163,2013-09-30,Monterrey,202240.31640192223,204446.6659450428
2013Q4,944.0,27602278.69143379,303231.04476826004,2328.483856044203,303321.7438619098,29239.702003637485,321.2193270850208,2.4666142542841567,321.315406633379,13812.44219249564,151.7578116061334,1.007426103600921,151.78507903841364,99938.00106272235,1098.450713899241,6.766720440707192,1098.2197918980478,2289.8294225848645,25.15152775801871,0.11982569044038557,25.162960687745763,21510.312551547417,236.32196927857368,2.2102674456908056,236.37706100601557,30536.55293866016,335.46987003583746,2.2797971716168037,335.5665158094523,37250.48159813311,409.20459910910046,2.8408894056924607,409.34595162783637,2013-12-31,Monterrey,204541.08039266203,205741.06366330534
2014Q1,944.0,26709383.667479753,296809.85247087723,1584.5437409285075,296770.92963866395,28293.838630804825,314.41721660050575,1.6785420984411006,314.37598478672027,13386.391605956846,148.79682659836695,0.8363538778080073,148.73768451063162,96586.73769681389,1073.6280361367726,7.851634629559403,1073.1859744090432,2245.2046713227382,24.928716184612917,0.05601626186463977,24.946718570252646,20694.332570279388,229.95189981901822,1.5842690073369488,229.93702855865988,29635.43672633116,329.33731272941907,1.4983175916463605,329.28263029256846,36145.20870705381,401.6829623366313,1.832663963366283,401.6134300783757,2014-03-31,Monterrey,206489.8730888201,207592.10146408997
2014Q2,944.0,26302266.055580284,289312.8780037247,3145.1256644731875,289035.8907206625,27862.569974131657,306.4755063598773,3.3317009157555564,306.1820876278204,13129.730702046674,144.46001362998,1.8718069057287916,144.28275496754588,94339.27108290797,1038.0598046113232,14.256729634857312,1036.6952866253623,2349.7021921076366,25.753334938822682,0.49604030730775855,25.82090320997403,20279.620164622353,223.05463436973378,2.712474655651811,222.85296884200386,29239.238050517746,321.6590786948538,3.429173297936484,321.3103082474478,35666.33762887305,392.34532213077495,4.128392054553934,391.9377761414621,2014-06-30,Monterrey,211188.16415074246,209852.58564588145
