fecha,municipio,total_pixeles,Suma_de_radianza_detrend,Suma_de_radianza,Media_de_radianza_detrend,Media_de_radianza,Desviacion_estandar_de_radianza_detrend,Desviacion_estandar_de_radianza,Maximo_de_radianza_detrend,Maximo_de_radianza,Minimo_de_radianza_detrend,Minimo_de_radianza,Percentil_25_de_radianza_detrend,Percentil_25_de_radianza,Percentil_50_de_radianza_detrend,Percentil_50_de_radianza,Percentil_75_de_radianza_detrend,Percentil_75_de_radianza
2015-05-27,monterrey,944,-20514.326551964565,248861.32655196456,-21.731278127081282,263.62428660165756,3.6742462307254726,118.79032921562212,-211.59663789285548,779.5966378928555,-11.624808851236828,28.62480885123683,-40.085159007920936,192.08515900792094,-26.024903965451585,274.0249039654516,-2.083128572836074,336.0831285728361
2015-05-28,monterrey,944,-40210.13281116888,248870.13281116888,-42.59547967284797,263.6336152660683,10.661733729812227,118.80338422099149,-64.70214586755799,779.702145867558,-18.606916191006334,28.606916191006334,-64.34985873559683,192.09985873559683,-72.52782360747125,274.02782360747125,-37.08836755720267,336.0883675572027
2015-05-29,monterrey,944,-119102.63368293582,248879.63368293582,-126.16804415565187,263.6436797488722,-42.54909231380206,118.81695934814951,-364.81235645099673,779.8123564509967,-20.588915986601823,28.588915986601823,-102.11497612200043,192.11497612200043,-139.0315340010951,274.0315340010951,-149.09462139399187,336.0946213939919
2015-05-30,monterrey,944,-77820.82824264612,248889.82824264612,-82.43731805365047,263.6544790705996,-32.120533974612314,118.831055214166,-251.9272527233653,779.9272527233653,-18.57080657161672,28.57080657161672,-67.13050780614941,192.1305078061494,-103.53603477568862,274.0360347756886,-118.35189095204368,336.1018909520437
2015-05-31,monterrey,944,12294.28257124676,248900.71742875324,13.023604418693537,263.6660142253743,-14.149654153519009,118.8456732643294,-245.04681917016308,780.0468191701631,28.447413563247192,28.552586436752808,13.603548157710236,192.14645184228976,31.458672364431322,274.0413276355687,14.889820329004522,336.1101796709955
2015-06-01,monterrey,944,163829.69769588712,248912.30230411288,173.54840857615147,263.67828633910284,85.94022924212601,118.86081488903079,362.82896256814183,780.1710374318582,-3.534254483153884,28.534254483153884,96.33719368353127,192.16280631646873,188.95258572202795,274.04741427797205,230.1305087314601,336.1194912685399
2015-06-02,monterrey,944,154629.41742178303,248924.58257821697,163.80234896375345,263.69129510404315,63.97877482367649,118.8764806412063,343.70011739882295,780.299882601177,14.484190225363392,28.515809774636608,157.82043141749637,192.17956858250363,175.44570518825373,274.0542948117463,208.87017253909357,336.1298274609064
2015-06-03,monterrey,944,95793.44306887093,248937.55693112907,101.4761049458379,263.7050391219587,35.34951763369352,118.89267039598477,51.56667468628768,780.4333253137123,10.502748611776124,28.497251388223876,86.30326450763764,192.19673549236236,106.93803162072226,274.06196837927774,129.85881164886,336.14118835114
2015-06-04,monterrey,944,81254.77743420831,248951.2225657917,86.07497609555969,263.71951542986403,35.33383548943142,118.90938309126109,-13.571329592969391,780.5713295929694,-1.4785784460496743,28.478578446049674,69.03569713965399,192.214302860346,96.42956737808788,274.0704326219121,110.59642806623714,336.15357193376286
2015-06-05,monterrey,944,2275.425120400294,248965.5748795997,2.410407966525554,263.7347191521185,-27.113390111015207,118.92661659153654,-243.71385146543912,780.7138514654391,-3.4597902092818344,28.459790209281834,19.767734828881487,192.2322651711185,4.9203167408284685,274.07968325917153,-7.166973745315261,336.16697374531526
2015-06-06,monterrey,944,31043.391820974677,248980.60817902532,32.884948962897,263.750644257442,2.652835528639997,118.94436805583125,-22.86084323297655,780.8608432329765,9.559113898670098,28.4408861013299,28.9993836726442,192.2506163273558,19.91028525169577,274.08971474830423,41.06861229182488,336.1813877081751
2015-06-07,monterrey,944,-127494.31504461548,248996.31504461548,-135.05753712353334,263.7672828862452,-59.61101261538359,118.96263352854913,-169.01225118040077,781.0122511804008,29.578134174971556,28.421865825028444,-103.51934917011422,192.26934917011422,-162.1005195687631,274.1005195687631,-182.19680520623888,336.1968052062389
2015-06-08,monterrey,944,67367.31388287299,249012.686117127,71.36367996067008,263.78462512407566,30.706732851992456,118.98140778139174,-47.16801358266355,781.1680135826635,-6.402729361556059,28.40272936155606,50.71154468310624,192.28845531689376,81.88791203381555,274.11208796618445,90.78678521750874,336.21321478249126
2015-06-09,monterrey,944,5690.288405497355,249029.71159450265,6.027847887179689,263.8026605873966,21.792282856619863,119.00068512099202,155.67193271890937,781.3280672810906,-8.383477100738904,28.383477100738904,-16.307926200421946,192.30792620042195,-7.124409508237477,274.1244095082375,12.01939587988062,336.2306041201194
2015-06-10,monterrey,944,23504.61746692343,249047.38253307657,24.89895918106322,263.82137980198763,7.039017081066234,119.02045977398753,-224.49234963642198,781.492349636422,-17.364110098188714,28.364110098188714,14.922245688444974,192.32775431155503,44.86252536185896,274.13747463814104,38.001038295184856,336.24896170481514
2015-06-11,monterrey,944,84501.30914209815,249065.69085790185,89.51409866747633,263.8407742138797,42.02888513296412,119.04072595517857,-49.66079505933055,781.6607950593306,-18.344629679634448,28.344629679634448,60.65206703410459,192.3479329658954,107.84872512355287,274.15127487644713,125.7317230144522,336.2682769855478
2015-06-12,monterrey,944,-1294.6296529520769,249084.62965295208,-1.371429717110857,263.86083649677187,51.017665508740365,119.06147825092513,369.16665980768346,781.8333401923165,-18.325037346438734,28.325037346438734,-65.36845642902557,192.36845642902557,-38.6658031434003,274.1658031434003,38.71145916562409,336.2885408343759
2015-06-13,monterrey,944,-78514.19208885229,249104.1920888523,-83.17181365344535,263.8815594161572,-17.56899587247446,119.08271118496577,-189.009927777215,782.009927777215,-18.305334922218073,28.305334922218073,-93.3893192446831,192.3893192446831,-99.18105248003542,274.1810524800354,-78.55974404337337,336.30974404337337
2015-06-14,monterrey,944,-63949.371599860024,249124.37159986002,-67.74297838968235,263.902936016801,6.578784946499113,119.10441936402489,-137.19050912461114,782.1905091246111,-22.285524362339242,28.285524362339242,-91.16051647260676,192.41051647260676,-86.19701625530695,274.19701625530695,-57.3318775200006,336.3318775200006
2015-06-15,monterrey,944,-51553.161574213096,249145.1615742131,-54.61139997268353,263.92495929471744,-19.31569991355873,119.12659731396086,-213.37503485432,782.37503485432,-20.26560763741047,28.26560763741047,-54.43204310284935,192.43204310284935,-56.713687745246375,274.2136877452464,-54.354932022990454,336.35493202299045
2015-06-16,monterrey,944,66077.44439284818,249166.55560715182,69.99729278903419,263.9476224652031,40.91519140750664,119.149239262367,214.4365561154765,782.5634438845235,-23.245586703206722,28.245586703206722,46.54610556778496,192.45389443221504,82.76893947316933,274.2310605268307,90.6211014570664,336.3788985429336
2015-06-17,monterrey,944,-12494.548426308436,249188.54842630844,-13.235750451597738,263.9709199431232,53.56994768132108,119.17234038139031,59.24431903887057,782.7556809611294,-18.22546327342204,28.22546327342204,-105.72606647016244,192.47606647016244,-17.249129293457486,274.2491292934575,53.59623021513681,336.4037697848632
2015-06-18,monterrey,944,-64063.13618581186,249211.13618581186,-67.86349172225837,263.9948476544617,-2.491869399022306,119.19589762104295,-218.951720524282,782.951720524282,-12.205238888059668,28.205238888059668,-108.49855626972396,192.49855626972396,-63.76789020364993,274.2678902036499,-70.429540412378,336.429540412378
2015-06-19,monterrey,944,-182970.3147276482,249234.3147276482,-193.82448594030535,264.01940119454264,-83.84300085605344,119.21990811722735,-623.1515420449305,783.1515420449305,-16.18491484049011,28.18491484049011,-148.5213606073086,192.5213606073086,-212.28733905377442,274.2873390537744,-239.20620466987407,336.45620466987407
2015-06-20,monterrey,944,-99441.07950641983,249258.07950641983,-105.34012659578386,264.0445757483262,-47.01031157579689,119.24436897257927,-308.35512292737565,783.3551229273756,-17.164492116121593,28.164492116121593,-89.544475929438,192.544475929438,-122.30747118174378,274.3074711817438,-132.48375630866474,336.48375630866474
