fecha,municipio,total_pixeles,Suma_de_radianza_trend,Suma_de_radianza_detrend,Media_de_radianza_trend,Media_de_radianza_detrend,Desviacion_estandar_de_radianza_trend,Desviacion_estandar_de_radianza_detrend,Maximo_de_radianza_trend,Maximo_de_radianza_detrend,Minimo_de_radianza_trend,Minimo_de_radianza_detrend,Percentil_25_de_radianza_trend,Percentil_25_de_radianza_detrend,Percentil_50_de_radianza_trend,Percentil_50_de_radianza_detrend,Percentil_75_de_radianza_trend,Percentil_75_de_radianza_detrend
2012-01-19,monterrey,944,336515.013723408,37040.98627659201,356.4777687747965,39.23833292011875,165.9870433332483,32.40351992063495,1032.1166197579296,460.8833802420704,31.14021763484799,-18.14021763484799,258.4092972044666,12.340702795533389,370.57167588320436,28.428324116795636,457.39712104435125,60.60287895564875
2012-01-20,monterrey,944,336543.89405988634,25489.10594011366,356.50836235157476,27.001171546730347,166.01403489399289,11.825172839875165,1032.9136433960086,-106.91364339600864,31.123292989107075,0.8767070108929254,258.4500077793054,45.549992220694605,370.6056886095269,25.394311390473092,457.42621006394546,24.82378993605454
2012-01-21,monterrey,944,336572.60534015554,144839.39465984446,356.5387768433846,153.4315621396663,166.04092243543082,73.86248584937198,1033.7095136899795,132.29048631002047,31.106398304648515,-18.106398304648515,258.490568936126,102.50943106387399,370.63950053252034,161.36049946747966,457.4550677591278,214.04493224087219
2012-01-22,monterrey,944,336601.14692441927,206717.85307558073,356.56901157247927,218.98077656311392,166.06770553031524,111.01027877292805,1034.50422528374,630.49577471626,31.089533706042594,-23.089533706042594,258.5309801098898,167.4690198901102,370.67311090160723,238.82688909839277,457.4836932525885,291.0163067474115
2012-01-23,monterrey,944,336629.5181681595,-178151.51816815953,356.5990658561013,-188.7198285679657,166.09438373705436,-113.23644099159105,1035.2977728398223,-717.2977728398223,31.072699328237064,3.9273006717629357,258.57124074085925,-127.57124074085925,370.7065189666908,-202.7065189666908,457.512085653492,-250.51208565349202
2012-01-24,monterrey,944,336657.7184064069,-270388.7184064069,356.6289389898378,-286.428727125431,166.12095659498283,-134.2380411610818,1036.090150806566,-881.090150806566,31.055895315117667,-27.055895315117667,258.6113502567283,-212.61135025672831,370.73972395596326,-299.73972395596326,457.54024403851616,-365.54024403851616
2012-01-25,monterrey,944,336685.74705625937,50371.252943740634,356.6586303562067,53.35937811836959,166.14742368457016,30.33633996801433,1036.8813537093024,-23.881353709302402,31.039121814065606,-26.039121814065606,258.65130814756554,43.348691852434456,370.7727251863723,43.72727481362767,457.56816759357486,81.43183240642514
2012-01-26,monterrey,944,336713.60362927994,153003.39637072006,356.6881394377971,162.0798690367792,166.1737846227539,83.94549241867836,1037.6713761439198,167.32862385608018,31.0223789815688,-25.0223789815688,258.6911139846725,114.30888601532752,370.80552208302134,177.19447791697866,457.5958556277434,215.4041443722566
2012-01-27,monterrey,944,336741.2876447813,310808.7123552187,356.7174657254049,329.24651732544254,166.20003902026002,178.2857678867975,1038.4602127025823,802.5397872974177,31.00566698884317,-22.00566698884317,258.7307673521374,227.26923264786262,370.838114086109,343.161885913891,457.62330745106027,421.62669254893973
2012-01-28,monterrey,944,336768.7985839399,167311.2014160601,356.74660866942787,177.2364421780298,166.2261864784794,91.96997984849486,1039.2478583223492,322.7521416776508,30.988986009386227,-23.988986009386227,258.77026780667967,113.22973219332033,370.8705005916542,185.6294994083458,457.6505223181945,248.09947768180552
2012-01-29,monterrey,944,336796.13584388513,-234174.13584388513,356.775567631235,-248.06582186852313,166.25222655302466,-107.11905962917524,1040.0343077338405,-804.0343077338405,30.972336214985305,-26.972336214985305,258.80961484924717,-195.80961484924717,370.9026809061607,-255.9026809061607,457.677499370122,-306.677499370122
2012-01-30,monterrey,944,336823.2988168649,-307508.2988168649,356.80434196701884,-325.75031654329,166.2781587925061,-155.72471105161628,1040.8195555558207,-981.8195555558207,30.95571777903864,-19.95571777903864,258.84880798253073,-235.84880798253073,370.9346543347184,-341.9346543347184,457.7042377392974,-417.7042377392974
2012-01-31,monterrey,944,336850.2869974851,-22068.28699748509,356.83293114140355,-23.37742266682727,166.30398279214853,-11.299526420467288,1041.6035966043592,-289.60359660435915,30.93913087860728,-15.93913087860728,258.88784679531847,-23.887846795318467,370.9664202989144,-23.966420298914386,457.73073669625256,-5.230736696252563
2012-02-01,monterrey,944,336877.0999458361,66204.90005416388,356.8613346883856,70.13230937941097,166.32969817923353,23.704988557140865,1042.386425789421,-15.386425789421082,30.922575689334973,5.077424310665027,258.92673092703444,45.32326907296556,370.9979782957449,83.00202170425513,457.7569956023413,88.4930043976587
2012-02-02,monterrey,944,336903.7372016211,71387.26279837888,356.88955212036166,75.62210042201121,166.35530456818947,36.44578951792079,1043.168037850541,-16.16803785054094,30.906052382947017,-8.906052382947017,258.965460000392,59.034539999608,371.0293278033986,88.97067219660141,457.78301379001186,103.46698620998814
2012-02-03,monterrey,944,336930.19828305335,-81355.19828305335,356.91758292696346,-86.18135411340415,166.380801568204,-54.299380077373186,1043.9484275178477,-452.9484275178477,30.88956112350495,-19.88956112350495,259.0040336187858,-52.0040336187858,371.0604682756041,-87.06046827560408,457.8087905653585,-120.55879056535849
2012-02-04,monterrey,944,336956.4826565289,-111890.48265652888,356.9454265429335,-118.5280536615775,166.4061887800688,-85.86664462467104,1044.7275897365066,-529.7275897365066,30.873102070805526,12.126897929194474,259.04245133603933,-77.04245133603933,371.0913991042773,-120.59139910427729,457.8343251624881,-165.58432516248808
2012-02-05,monterrey,944,336982.5897288566,-162108.58972885658,356.9730823398898,-171.7252009839576,166.43146578114442,-138.10172614143505,1045.5055193070812,-797.5055193070812,30.85667538378032,92.14332461621967,259.08071265380227,-91.08071265380227,371.12211961372714,-178.12211961372714,457.859616738102,-254.60961673810198
2012-02-06,monterrey,944,337008.5189150873,-61325.518915087276,357.0005496981862,-64.96347342699977,166.4566321580176,-95.20900580497104,1046.2822110359773,-590.2822110359773,30.840281216755184,119.15971878324481,259.11881707816394,-23.118817078163943,371.15262913642846,-68.15262913642846,457.88466446439674,-114.88466446439674
2012-02-07,monterrey,944,337034.26966267574,279274.73033732426,357.0278280324949,295.84187535733565,166.48168752993828,118.79526119173099,1047.057659954199,443.9423400458011,30.823919698535985,18.176080301464015,259.1567641313783,247.59323586862172,371.1829270384202,308.8170729615798,457.90946756843755,393.09053243156245
2012-02-08,monterrey,944,337059.841429683,-24633.841429682972,357.0549167687326,-26.095171006020735,166.5066315402048,-139.43652344145988,1047.8318612776131,-645.8318612776131,30.807590923373102,240.1924090766269,259.1945533352337,51.55544666476629,371.2130127004776,-46.21301270047758,457.9340253012298,-102.93402530122978
2012-02-09,monterrey,944,337085.23358307173,-72338.23358307173,357.08181523630486,-76.62948472783029,166.53146379969348,-155.186065322662,1048.6048100029677,-744.6048100029677,30.791294958198783,220.2087050418012,259.23218412794677,12.767815872053234,371.24288540582126,-90.24288540582126,457.9583367957371,-168.70833679573713
2012-02-10,monterrey,944,337110.4455384059,-76335.44553840591,357.10852281610795,-80.86381942627742,166.55618396695743,-81.34210613395514,1049.3765011659455,-586.3765011659455,30.77503180485244,99.22496819514757,259.2696559671942,-67.26965596719418,371.2725444999912,-75.27254449999123,457.982401271859,-110.98240127185898
2012-02-12,monterrey,944,337135.4767690232,-261138.47676902323,357.135038950238,-276.62974234006856,166.58079175617848,-153.61792213193735,1050.146929954386,-938.146929954386,30.758801399381035,22.241198600618965,259.3069683418201,-187.3069683418201,371.3019894006178,-290.3019894006178,458.00621804676956,-369.00621804676956
2012-02-13,monterrey,944,337160.326725514,-131801.32672551402,357.1613630566892,-139.6200494973672,166.60528688648137,-75.35065855731169,1050.916091584217,-612.9160915842169,30.742603640690387,-3.742603640690387,259.34412072100565,-114.34412072100565,371.33121949841023,-134.33121949841023,458.0297864134845,-172.7797864134845
2012-02-14,monterrey,944,337184.9949337134,-78752.9949337134,357.1874946331715,-83.42478276876477,166.62966913525034,-59.398151588599646,1051.683981895408,-399.6839818954079,30.726438413241976,6.273561586758024,259.38111263154366,-47.38111263154366,371.3602342646529,-79.36023426465289,458.05310577188004,-113.05310577188004
2012-02-15,monterrey,944,337209.48098831513,-72589.48098831513,357.2134332503338,-76.89563664016435,166.65393832094816,-41.782671300274174,1052.45059698948,-422.4505969894799,30.71030559485968,-2.7103055948596797,259.4179436540078,-62.417943654007786,371.389033244611,-79.38903324461103,458.0761756195555,-96.5761756195555
2012-02-16,monterrey,944,337233.7845345662,-126695.78453456622,357.2391785323788,-134.21163615949743,166.67809429375396,-13.16357749310626,1053.2159331503208,-458.2159331503208,30.69420505874786,-21.69420505874786,259.45461340447946,-188.70461340447946,371.4176160402747,-151.4176160402747,458.09899552912447,-108.09899552912447
2012-02-17,monterrey,944,337257.90519208484,-105705.90519208484,357.2647300763611,-111.97659448314076,166.70213688892767,-4.590581518375558,1053.9799865280702,-345.9799865280702,30.678136672816937,-22.678136672816937,259.49112148513683,-149.49112148513683,371.44598222681105,-141.44598222681105,458.1215650370822,-111.12156503708218
2012-02-20,monterrey,944,337281.84261728084,-24547.84261728084,357.2900875183057,-26.004070569153214,166.72606594694915,-20.611911395083467,1054.7427532783856,-43.742753278385635,30.662100298740757,-17.662100298740757,259.5274675541201,6.472532445879892,371.47413142766567,-38.47413142766567,458.14388371777653,-50.14388371777653
2012-02-21,monterrey,944,337305.59647781093,-120208.59647781093,357.3152505061555,-127.33961491293516,166.7498812929924,-73.41626676269074,1055.5042296010904,-376.5042296010904,30.64609580953225,2.3539041904677482,259.5636513000114,-66.56365130001137,371.50206328989344,-148.50206328989344,458.1659511498343,-191.1659511498343
2012-02-22,monterrey,944,337329.1664211049,-259406.16642110492,357.34021866642456,-274.7946678189669,166.7735827337458,-138.34578165323944,1056.2644115890798,-845.2644115890798,30.630123095660228,-8.630123095660228,259.59967239331326,-192.59967239331326,371.5297774432459,-290.5297774432459,458.18776688431706,-361.18776688431706
2012-02-23,monterrey,944,337352.5521471918,106966.44785280823,357.3649916813459,113.31191509831513,166.79717010958197,62.8725458952801,1057.0232956855064,96.97670431449365,30.614182060010165,-13.614182060010165,259.63553053778674,45.364469462213265,371.55727357300174,115.44272642699826,458.209330545992,170.79066945400803
2012-02-24,monterrey,944,337375.7534717838,-196671.75347178383,357.38956935570286,-208.33872189807573,166.82064331482735,-63.909903856343306,1057.7808785634754,-576.7808785634754,30.598272614592812,-19.598272614592812,259.67122553091775,-192.67122553091775,371.58455149441954,-250.58455149441954,458.23064191882446,-260.23064191882446
2012-02-25,monterrey,944,337398.7702633182,-176301.7702633182,357.4139515501261,-186.76034985521085,166.8440022617281,-66.96792582794214,1058.5371569615797,-650.5371569615797,30.58239468277753,-18.58239468277753,259.7067572256799,-184.7067572256799,371.61161108142966,-190.61161108142966,458.2517008554508,-205.2517008554508
2012-02-26,monterrey,944,337421.60247612046,74952.39752387954,357.43813821622973,79.39872619054995,166.86724689699102,52.89797084492349,1059.2921279583893,74.7078720416107,30.56654819504653,-25.56654819504653,259.7421255567471,56.75787444325289,371.63845230608786,80.86154769391214,458.2725073200482,102.72749267995181
2012-02-27,monterrey,944,337444.2501405931,-107452.2501405931,357.46212938622233,-113.82653616588334,166.89037719545215,-43.80582135815371,1060.0457888982016,-391.04578889820164,30.550733085952423,-16.550733085952423,259.7773305342603,-124.27733053426027,371.6650752269588,-108.66507522695878,458.2930613720487,-131.29306137204873
2012-02-28,monterrey,944,337466.7133014242,38367.28669857577,357.4859251074408,40.64331218069481,166.91339312247416,25.58655248903824,1060.7981370571465,262.2018629428535,30.53494929256809,-5.53494929256809,259.81237219508324,14.187627804916758,371.6914799198668,56.30852008013318,458.313363082016,66.686636917984
2012-02-29,monterrey,944,337488.99206798576,-176336.99206798576,357.5095254957472,-186.79766108896754,166.93629466374952,-89.64890431646533,1061.549169731218,-666.549169731218,30.51919675279889,-3.5191967527988908,259.84725064464675,-147.84725064464675,371.71766653219873,-205.71766653219873,458.33341260251166,-237.33341260251166
2012-03-01,monterrey,944,337511.08658371575,52606.91341628425,357.53293070308933,55.727662517249655,166.95908181639723,25.04409583117905,1062.2988841494316,-101.29888414943161,30.503475400423483,-23.503475400423483,259.8819660247378,61.11803397526222,371.74363524615677,55.25636475384323,458.3532101300317,63.8967898699683
2012-03-02,monterrey,944,337532.99706075,-13567.997060750029,357.55614095418434,-14.372878242319928,166.9817546172386,-14.512998108278339,1063.0472778599421,-247.04727785994214,30.487785160956577,-17.487785160956577,259.9165185319228,-6.666518531922804,371.7693863252772,-13.769386325277196,458.3727559547766,-34.37275595477661
2012-03-03,monterrey,944,337554.7237411593,75230.27625884069,357.5791565054658,79.69308925724613,167.0043131399172,27.820959058864645,1063.794349028606,-73.7943490286059,30.47212595629323,-20.47212595629323,259.95090837749075,78.04909162250925,371.7949200661899,95.20507993381011,458.3920504108965,107.6079495891035
